Country,2012,2007
Eritrea,0.8,0.41
Burundi,1.22,0.7
Sierra Leone,1.3,0.24
Somalia,1.38,1.12
Niger,1.41,0.39
Ethiopia,1.48,0.37
Guinea,1.49,0.78
Democratic Republic of the Congo,1.68,0.37
Madagascar,2.05,0.65
Chad,2.1,0.85
Mali,2.17,0.81
Ivory Coast,2.38,1.8
Guinea Bissau,2.89,2.21
Central African Republic,3,0.38
Burkina Faso,3.73,0.75
Liberia,3.79,0.55
Benin,3.8,1.79
Tanzania,3.95,1.6
Togo,4,2.2
Malawi,4.35,0.97
Lesotho,4.59,3.45
Mozambique,4.85,0.91
Mauritania,5.37,1.43
Cameroon,5.7,2.93
Congo,6.11,2.76
Djibouti,8.27,1.62
Gabon,8.62,5.77
Botswana,11.5,5.28
Gambia,12.45,6.21
Namibia,12.94,4.84
Zambia,13.47,4.87
Equatorial Guinea,13.94,1.56
Libya,14,4.72
Uganda,14.69,3.67
Algeria,15.23,9.45
Angola,16.94,3.2
Zimbabwe,17.09,10.85
Ghana,17.11,3.85
Yemen,17.45,5.01
Senegal,19.2,7.7
Swaziland,20.78,4.1
Sudan,21,8.66
Kenya,32.1,7.95
Nigeria,32.88,6.77
South Africa,41,8.07
Tunisia,41.44,17.1
Egypt,44.07,16.03
Morocco,55,21.5
South Sudan,,
Rwanda,8.02,2.12
Western Sahara,,
