Country,2012,2007
Canada,86.77,73.20
The Bahamas,71.75,27.00
Belize,25.00,10.86
Costa Rica,47.50,28.40
Cuba,25.64,11.69
Dominican Republic,45.00,17.66
El Salvador,25.50,6.11
Guatemala,16.00,7.30
Haiti,9.80,7.20
Honduras,18.12,9.40
Jamaica,46.50,21.10
Mexico,38.42,20.81
Nicaragua,13.50,3.90
Panama,45.20,22.29
Trinidad and Tobago,59.52,32.30
United States of America,81.03,75.00
Antigua and Barbuda,59.00,34.00
Barbados,73.33,58.20
Dominica,55.18,40.27
Grenada,42.09,22.29
Saint Kitts and Nevis,79.35,52.00
Saint Lucia,48.63,27.90
